Model,Origin,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model_Year,cyl4,org,when,Mfg
buick regal sport coupe (turbo)     ,USA    ,17.7,6,231,165,3445,13.4,78,Other,USA    ,Mid  ,buick        
ford futura                         ,USA    ,18.1,8,302,139,3205,11.2,78,Other,USA    ,Mid  ,ford         
dodge magnum xe                     ,USA    ,17.5,8,318,140,4080,13.7,78,Other,USA    ,Mid  ,dodge        
chevrolet chevette                  ,USA    ,30,4,98,68,2155,16.5,78,Four ,USA    ,Mid  ,chevrolet    
toyota corona                       ,Japan  ,27.5,4,134,95,2560,14.2,78,Four ,Japan  ,Mid  ,toyota       
datsun 510                          ,Japan  ,27.2,4,119,97,2300,14.7,78,Four ,Japan  ,Mid  ,datsun       
dodge omni                          ,USA    ,30.9,4,105,75,2230,14.5,78,Four ,USA    ,Mid  ,dodge        
toyota celica gt liftback           ,Japan  ,21.1,4,134,95,2515,14.8,78,Four ,Japan  ,Mid  ,toyota       
plymouth sapporo                    ,USA    ,23.2,4,156,105,2745,16.7,78,Four ,USA    ,Mid  ,plymouth     
oldsmobile starfire sx              ,USA    ,23.8,4,151,85,2855,17.6,78,Four ,USA    ,Mid  ,oldsmobile   
datsun 200-sx                       ,Japan  ,23.9,4,119,97,2405,14.9,78,Four ,Japan  ,Mid  ,datsun       
audi 5000                           ,Germany,20.3,5,131,103,2830,15.9,78,Other,Europe ,Mid  ,audi         
volvo 264gl                         ,Sweden ,17,6,163,125,3140,13.6,78,Other,Europe ,Mid  ,volvo        
saab 99gle                          ,Sweden ,21.6,4,121,115,2795,15.7,78,Four ,Europe ,Mid  ,saab         
peugeot 604sl                       ,France ,16.2,6,163,133,3410,15.8,78,Other,Europe ,Mid  ,peugeot      
volkswagen scirocco                 ,Germany,31.5,4,89,71,1990,14.9,78,Four ,Europe ,Mid  ,volkswagen   
honda accord lx                     ,Japan  ,29.5,4,98,68,2135,16.6,78,Four ,Japan  ,Mid  ,honda        
pontiac lemans v6                   ,USA    ,21.5,6,231,115,3245,15.4,79,Other,USA    ,Late ,pontiac      
mercury zephyr 6                    ,USA    ,19.8,6,200,85,2990,18.2,79,Other,USA    ,Late ,mercury      
ford fairmont 4                     ,USA    ,22.3,4,140,88,2890,17.3,79,Four ,USA    ,Late ,ford         
amc concord dl 6                    ,USA    ,20.2,6,232,90,3265,18.2,79,Other,USA    ,Late ,amc          
dodge aspen 6                       ,USA    ,20.6,6,225,110,3360,16.6,79,Other,USA    ,Late ,dodge        
chevrolet caprice classic           ,USA    ,17,8,305,130,3840,15.4,79,Other,USA    ,Late ,chevrolet    
ford ltd landau                     ,USA    ,17.6,8,302,129,3725,13.4,79,Other,USA    ,Late ,ford         
mercury grand marquis               ,USA    ,16.5,8,351,138,3955,13.2,79,Other,USA    ,Late ,mercury      
dodge st. regis                     ,USA    ,18.2,8,318,135,3830,15.2,79,Other,USA    ,Late ,dodge        
buick estate wagon (sw)             ,USA    ,16.9,8,350,155,4360,14.9,79,Other,USA    ,Late ,buick        
ford country squire (sw)            ,USA    ,15.5,8,351,142,4054,14.3,79,Other,USA    ,Late ,ford         
chevrolet malibu classic (sw)       ,USA    ,19.2,8,267,125,3605,15,79,Other,USA    ,Late ,chevrolet    
chrysler lebaron town @ country (sw),USA    ,18.5,8,360,150,3940,13,79,Other,USA    ,Late ,chrysler     
volkswagen rabbit custom            ,Germany,31.9,4,89,71,1925,14,79,Four ,Europe ,Late ,volkswagen   
mazda glc deluxe                    ,Japan  ,34.1,4,86,65,1975,15.2,79,Four ,Japan  ,Late ,mazda        
dodge colt hatchback custom         ,USA    ,35.7,4,98,80,1915,14.4,79,Four ,USA    ,Late ,dodge        
amc spirit dl                       ,USA    ,27.4,4,121,80,2670,15,79,Four ,USA    ,Late ,amc          
mercedes-benz 300d                  ,Germany,25.4,5,183,77,3530,20.1,79,Other,Europe ,Late ,mercedes-benz
cadillac eldorado                   ,USA    ,23,8,350,125,3900,17.4,79,Other,USA    ,Late ,cadillac     
peugeot 504                         ,France ,27.2,4,141,71,3190,24.8,79,Four ,Europe ,Late ,peugeot      
oldsmobile cutlass salon brougham   ,USA    ,23.9,8,260,90,3420,22.2,79,Other,USA    ,Late ,oldsmobile   
plymouth horizon                    ,USA    ,34.2,4,105,70,2200,13.2,79,Four ,USA    ,Late ,plymouth     
plymouth horizon tc3                ,USA    ,34.5,4,105,70,2150,14.9,79,Four ,USA    ,Late ,plymouth     
datsun 210                          ,Japan  ,31.8,4,85,65,2020,19.2,79,Four ,Japan  ,Late ,datsun       
fiat strada custom                  ,Italy  ,37.3,4,91,69,2130,14.7,79,Four ,Europe ,Late ,fiat         
buick skylark limited               ,USA    ,28.4,4,151,90,2670,16,79,Four ,USA    ,Late ,buick        
chevrolet citation                  ,USA    ,28.8,6,173,115,2595,11.3,79,Other,USA    ,Late ,chevrolet    
oldsmobile omega brougham           ,USA    ,26.8,6,173,115,2700,12.9,79,Other,USA    ,Late ,oldsmobile   
pontiac phoenix                     ,USA    ,33.5,4,151,90,2556,13.2,79,Four ,USA    ,Late ,pontiac      
volkswagen rabbit                   ,Germany,41.5,4,98,76,2144,14.7,80,Four ,Europe ,Late ,volkswagen   
toyota corolla tercel               ,Japan  ,38.1,4,89,60,1968,18.8,80,Four ,Japan  ,Late ,toyota       
chevrolet chevette                  ,USA    ,32.1,4,98,70,2120,15.5,80,Four ,USA    ,Late ,chevrolet    
datsun 310                          ,Japan  ,37.2,4,86,65,2019,16.4,80,Four ,Japan  ,Late ,datsun       
chevrolet citation                  ,USA    ,28,4,151,90,2678,16.5,80,Four ,USA    ,Late ,chevrolet    
ford fairmont                       ,USA    ,26.4,4,140,88,2870,18.1,80,Four ,USA    ,Late ,ford         
amc concord                         ,USA    ,24.3,4,151,90,3003,20.1,80,Four ,USA    ,Late ,amc          
dodge aspen                         ,USA    ,19.1,6,225,90,3381,18.7,80,Other,USA    ,Late ,dodge        
audi 4000                           ,Germany,34.3,4,97,78,2188,15.8,80,Four ,Europe ,Late ,audi         
toyota corona liftback              ,Japan  ,29.8,4,134,90,2711,15.5,80,Four ,Japan  ,Late ,toyota       
mazda 626                           ,Japan  ,31.3,4,120,75,2542,17.5,80,Four ,Japan  ,Late ,mazda        
datsun 510 hatchback                ,Japan  ,37,4,119,92,2434,15,80,Four ,Japan  ,Late ,datsun       
toyota corolla                      ,Japan  ,32.2,4,108,75,2265,15.2,80,Four ,Japan  ,Late ,toyota       
mazda glc                           ,Japan  ,46.6,4,86,65,2110,17.9,80,Four ,Japan  ,Late ,mazda        
dodge colt                          ,USA    ,27.9,4,156,105,2800,14.4,80,Four ,USA    ,Late ,dodge        
datsun 210                          ,Japan  ,40.8,4,85,65,2110,19.2,80,Four ,Japan  ,Late ,datsun       
volkswagen rabbit c (diesel)        ,Germany,44.3,4,90,48,2085,21.7,80,Four ,Europe ,Late ,volkswagen   
volkswagen dasher (diesel)          ,Germany,43.4,4,90,48,2335,23.7,80,Four ,Europe ,Late ,volkswagen   
audi 5000s (diesel)                 ,Germany,36.4,5,121,67,2950,19.9,80,Other,Europe ,Late ,audi         
mercedes-benz 240d                  ,Germany,30,4,146,67,3250,21.8,80,Four ,Europe ,Late ,mercedes-benz
honda civic 1500 gl                 ,Japan  ,44.6,4,91,67,1850,13.8,80,Four ,Japan  ,Late ,honda        
renault lecar deluxe                ,France ,40.9,4,85,NaN,1835,17.3,80,Four ,Europe ,Late ,renault      
subaru dl                           ,Japan  ,33.8,4,97,67,2145,18,80,Four ,Japan  ,Late ,subaru       
volkswagen rabbit                   ,Germany,29.8,4,89,62,1845,15.3,80,Four ,Europe ,Late ,volkswagen   
datsun 280-zx                       ,Japan  ,32.7,6,168,132,2910,11.4,80,Other,Japan  ,Late ,datsun       
mazda rx-7 gs                       ,Japan  ,23.7,3,70,100,2420,12.5,80,Other,Japan  ,Late ,mazda        
triumph tr7 coupe                   ,England,35,4,122,88,2500,15.1,80,Four ,Europe ,Late ,triumph      
ford mustang cobra                  ,USA    ,23.6,4,140,NaN,2905,14.3,80,Four ,USA    ,Late ,ford         
honda accord                        ,Japan  ,32.4,4,107,72,2290,17,80,Four ,Japan  ,Late ,honda        
plymouth reliant                    ,USA    ,27.2,4,135,84,2490,15.7,81,Four ,USA    ,Late ,plymouth     
buick skylark                       ,USA    ,26.6,4,151,84,2635,16.4,81,Four ,USA    ,Late ,buick        
dodge aries wagon (sw)              ,USA    ,25.8,4,156,92,2620,14.4,81,Four ,USA    ,Late ,dodge        
chevrolet citation                  ,USA    ,23.5,6,173,110,2725,12.6,81,Other,USA    ,Late ,chevrolet    
plymouth reliant                    ,USA    ,30,4,135,84,2385,12.9,81,Four ,USA    ,Late ,plymouth     
toyota starlet                      ,Japan  ,39.1,4,79,58,1755,16.9,81,Four ,Japan  ,Late ,toyota       
plymouth champ                      ,USA    ,39,4,86,64,1875,16.4,81,Four ,USA    ,Late ,plymouth     
honda civic 1300                    ,Japan  ,35.1,4,81,60,1760,16.1,81,Four ,Japan  ,Late ,honda        
subaru                              ,Japan  ,32.3,4,97,67,2065,17.8,81,Four ,Japan  ,Late ,subaru       
datsun 210 mpg                      ,Japan  ,37,4,85,65,1975,19.4,81,Four ,Japan  ,Late ,datsun       
toyota tercel                       ,Japan  ,37.7,4,89,62,2050,17.3,81,Four ,Japan  ,Late ,toyota       
mazda glc 4                         ,Japan  ,34.1,4,91,68,1985,16,81,Four ,Japan  ,Late ,mazda        
plymouth horizon 4                  ,USA    ,34.7,4,105,63,2215,14.9,81,Four ,USA    ,Late ,plymouth     
ford escort 4w                      ,USA    ,34.4,4,98,65,2045,16.2,81,Four ,USA    ,Late ,ford         
ford escort 2h                      ,USA    ,29.9,4,98,65,2380,20.7,81,Four ,USA    ,Late ,ford         
volkswagen jetta                    ,Germany,33,4,105,74,2190,14.2,81,Four ,Europe ,Late ,volkswagen   
renault 18i                         ,France ,34.5,4,100,NaN,2320,15.8,81,Four ,Europe ,Late ,renault      
honda prelude                       ,Japan  ,33.7,4,107,75,2210,14.4,81,Four ,Japan  ,Late ,honda        
toyota corolla                      ,Japan  ,32.4,4,108,75,2350,16.8,81,Four ,Japan  ,Late ,toyota       
datsun 200sx                        ,Japan  ,32.9,4,119,100,2615,14.8,81,Four ,Japan  ,Late ,datsun       
mazda 626                           ,Japan  ,31.6,4,120,74,2635,18.3,81,Four ,Japan  ,Late ,mazda        
peugeot 505s turbo diesel           ,France ,28.1,4,141,80,3230,20.4,81,Four ,Europe ,Late ,peugeot      
saab 900s                           ,Sweden ,NaN,4,121,110,2800,15.4,81,Four ,Europe ,Late ,saab         
volvo diesel                        ,Sweden ,30.7,6,145,76,3160,19.6,81,Other,Europe ,Late ,volvo        
toyota cressida                     ,Japan  ,25.4,6,168,116,2900,12.6,81,Other,Japan  ,Late ,toyota       
datsun 810 maxima                   ,Japan  ,24.2,6,146,120,2930,13.8,81,Other,Japan  ,Late ,datsun       
buick century                       ,USA    ,22.4,6,231,110,3415,15.8,81,Other,USA    ,Late ,buick        
oldsmobile cutlass ls               ,USA    ,26.6,8,350,105,3725,19,81,Other,USA    ,Late ,oldsmobile   
ford granada gl                     ,USA    ,20.2,6,200,88,3060,17.1,81,Other,USA    ,Late ,ford         
chrysler lebaron salon              ,USA    ,17.6,6,225,85,3465,16.6,81,Other,USA    ,Late ,chrysler     
chevrolet cavalier                  ,USA    ,28,4,112,88,2605,19.6,82,Four ,USA    ,Late ,chevrolet    
chevrolet cavalier wagon            ,USA    ,27,4,112,88,2640,18.6,82,Four ,USA    ,Late ,chevrolet    
chevrolet cavalier 2-door           ,USA    ,34,4,112,88,2395,18,82,Four ,USA    ,Late ,chevrolet    
pontiac j2000 se hatchback          ,USA    ,31,4,112,85,2575,16.2,82,Four ,USA    ,Late ,pontiac      
dodge aries se                      ,USA    ,29,4,135,84,2525,16,82,Four ,USA    ,Late ,dodge        
pontiac phoenix                     ,USA    ,27,4,151,90,2735,18,82,Four ,USA    ,Late ,pontiac      
ford fairmont futura                ,USA    ,24,4,140,92,2865,16.4,82,Four ,USA    ,Late ,ford         
amc concord dl                      ,USA    ,23,4,151,NaN,3035,20.5,82,Four ,USA    ,Late ,amc          
volkswagen rabbit l                 ,Germany,36,4,105,74,1980,15.3,82,Four ,Europe ,Late ,volkswagen   
mazda glc custom l                  ,Japan  ,37,4,91,68,2025,18.2,82,Four ,Japan  ,Late ,mazda        
mazda glc custom                    ,Japan  ,31,4,91,68,1970,17.6,82,Four ,Japan  ,Late ,mazda        
plymouth horizon miser              ,USA    ,38,4,105,63,2125,14.7,82,Four ,USA    ,Late ,plymouth     
mercury lynx l                      ,USA    ,36,4,98,70,2125,17.3,82,Four ,USA    ,Late ,mercury      
nissan stanza xe                    ,Japan  ,36,4,120,88,2160,14.5,82,Four ,Japan  ,Late ,nissan       
honda accord                        ,Japan  ,36,4,107,75,2205,14.5,82,Four ,Japan  ,Late ,honda        
toyota corolla                      ,Japan  ,34,4,108,70,2245,16.9,82,Four ,Japan  ,Late ,toyota       
honda civic                         ,Japan  ,38,4,91,67,1965,15,82,Four ,Japan  ,Late ,honda        
honda civic (auto)                  ,Japan  ,32,4,91,67,1965,15.7,82,Four ,Japan  ,Late ,honda        
datsun 310 gx                       ,Japan  ,38,4,91,67,1995,16.2,82,Four ,Japan  ,Late ,datsun       
buick century limited               ,USA    ,25,6,181,110,2945,16.4,82,Other,USA    ,Late ,buick        
oldsmobile cutlass ciera (diesel)   ,USA    ,38,6,262,85,3015,17,82,Other,USA    ,Late ,oldsmobile   
chrysler lebaron medallion          ,USA    ,26,4,156,92,2585,14.5,82,Four ,USA    ,Late ,chrysler     
ford granada l                      ,USA    ,22,6,232,112,2835,14.7,82,Other,USA    ,Late ,ford         
toyota celica gt                    ,Japan  ,32,4,144,96,2665,13.9,82,Four ,Japan  ,Late ,toyota       
dodge charger 2.2                   ,USA    ,36,4,135,84,2370,13,82,Four ,USA    ,Late ,dodge        
chevrolet camaro                    ,USA    ,27,4,151,90,2950,17.3,82,Four ,USA    ,Late ,chevrolet    
ford mustang gl                     ,USA    ,27,4,140,86,2790,15.6,82,Four ,USA    ,Late ,ford         
volkswagen pickup                   ,Germany,44,4,97,52,2130,24.6,82,Four ,Europe ,Late ,volkswagen   
dodge rampage                       ,USA    ,32,4,135,84,2295,11.6,82,Four ,USA    ,Late ,dodge        
ford ranger                         ,USA    ,28,4,120,79,2625,18.6,82,Four ,USA    ,Late ,ford         
chevrolet s-10                      ,USA    ,31,4,119,82,2720,19.4,82,Four ,USA    ,Late ,chevrolet    
